floors,total_floors,room_size,bts_distance,mall_distance,highway_distance,common_price,bedroom_number,land_price,room_price
5,8,26,2.8,2.5,15,12000,1,250000,1500000
6,8,26,0.8,4,1,14400,1,111000,2400000
5,10,43,10,15,4,14400,1,120000,3000000
17,34,35,0.1,0.1,1,12000,1,100000,2700000
6,7,41,1,1,2,14400,1,140000,2800000
8,26,34,0.24,0.15,7.4,16320,1,200000,4480000
3,8,45,0.36,0.4,1.7,19440,1,250000,4900000
17,30,83,1.3,3.4,1,39840,2,84668,9900000
12,22,37,0.35,1.3,7,22200,1,128000,7900000
4,8,22.56,4.8,4.2,18,9432,1,52000,1350000
8,30,33,1.1,0.9,7.9,12276,1,69697,2300000
28,30,28.5,0.5,5.9,7,15660,1,94178,2750000
8,8,28.46,2.7,2.9,8.5,4320,1,154061,1650000
2,22,27,2.2,2,5.3,14580,1,154061,2900000
10,22,34,2.1,2,5.3,18360,1,154061,4491000
22,22,63,2.1,2,5.3,34020,1,154061,6500000
11,33,34.5,6.7,1,6.7,15000,1,83000,2900000
6,33,51,6.7,1,10,15000,2,78780,3978400
8,8,27,1,1.5,13,12312,1,55556,1500000
5,8,30.5,1,1.5,13,13908,1,64262,1960000
11,24,42.25,9.8,1.7,12.6,12000,1,154061,1290000
7,18,27,20,0.8,6.4,48000,1,154061,1800000
1,8,34,2,3,8,12000,1,120000,1800000
7,30,27.8,1.3,1.5,10.2,17820,1,103900,2890000
3,8,22,1.1,3.8,4.8,13200,3,79090,1740000
4,8,23,0.3,1.5,5.4,12420,1,73600,1590000
10,26,23,0.3,0.1,14.7,9660,1,85000,2200000
3,8,26.5,2.3,0.9,5.1,18132,1,86000,1890000
3,8,32,4.2,2.1,7,6600,1,90000,1390000
9,21,60.5,0.1,1.3,6.5,6480,2,85000,2300000
10,30,35,35,1.5,2.6,6600,1,145000,3300000
5,8,28,7,5,1,6600,1,100000,1620000
5,21,26,0.55,3,7.7,4680,1,175000,1990000
